DATAFILE  1
          XY
                                                                                
   500 rho dist x y z                                                           
  0.16986E+00  0.67134E+00  0.26505E-15  0.26505E-15  0.43287E+01
  0.16355E+00  0.68136E+00  0.26444E-15  0.26444E-15  0.43186E+01
  0.15747E+00  0.69138E+00  0.26383E-15  0.26383E-15  0.43086E+01
  0.15162E+00  0.70140E+00  0.26321E-15  0.26321E-15  0.42986E+01
  0.14599E+00  0.71142E+00  0.26260E-15  0.26260E-15  0.42886E+01
  0.14056E+00  0.72144E+00  0.26199E-15  0.26199E-15  0.42786E+01
  0.13534E+00  0.73146E+00  0.26137E-15  0.26137E-15  0.42685E+01
  0.13031E+00  0.74148E+00  0.26076E-15  0.26076E-15  0.42585E+01
  0.12547E+00  0.75150E+00  0.26015E-15  0.26015E-15  0.42485E+01
  0.12080E+00  0.76152E+00  0.25953E-15  0.25953E-15  0.42385E+01
  0.11631E+00  0.77154E+00  0.25892E-15  0.25892E-15  0.42285E+01
  0.11199E+00  0.78156E+00  0.25830E-15  0.25830E-15  0.42184E+01
  0.10783E+00  0.79158E+00  0.25769E-15  0.25769E-15  0.42084E+01
  0.10382E+00  0.80160E+00  0.25708E-15  0.25708E-15  0.41984E+01
  0.99963E-01  0.81162E+00  0.25646E-15  0.25646E-15  0.41884E+01
  0.96248E-01  0.82164E+00  0.25585E-15  0.25585E-15  0.41784E+01
  0.92671E-01  0.83166E+00  0.25524E-15  0.25524E-15  0.41683E+01
  0.89228E-01  0.84168E+00  0.25462E-15  0.25462E-15  0.41583E+01
  0.85912E-01  0.85170E+00  0.25401E-15  0.25401E-15  0.41483E+01
  0.82719E-01  0.86172E+00  0.25340E-15  0.25340E-15  0.41383E+01
  0.79645E-01  0.87174E+00  0.25278E-15  0.25278E-15  0.41283E+01
  0.76685E-01  0.88176E+00  0.25217E-15  0.25217E-15  0.41182E+01
  0.73835E-01  0.89178E+00  0.25156E-15  0.25156E-15  0.41082E+01
  0.71091E-01  0.90180E+00  0.25094E-15  0.25094E-15  0.40982E+01
  0.68449E-01  0.91182E+00  0.25033E-15  0.25033E-15  0.40882E+01
  0.65906E-01  0.92184E+00  0.24971E-15  0.24971E-15  0.40782E+01
  0.63456E-01  0.93186E+00  0.24910E-15  0.24910E-15  0.40681E+01
  0.61098E-01  0.94188E+00  0.24849E-15  0.24849E-15  0.40581E+01
  0.58828E-01  0.95190E+00  0.24787E-15  0.24787E-15  0.40481E+01
  0.56641E-01  0.96192E+00  0.24726E-15  0.24726E-15  0.40381E+01
  0.54536E-01  0.97194E+00  0.24665E-15  0.24665E-15  0.40281E+01
  0.52510E-01  0.98196E+00  0.24603E-15  0.24603E-15  0.40180E+01
  0.50558E-01  0.99198E+00  0.24542E-15  0.24542E-15  0.40080E+01
  0.48679E-01  0.10020E+01  0.24481E-15  0.24481E-15  0.39980E+01
  0.46870E-01  0.10120E+01  0.24419E-15  0.24419E-15  0.39880E+01
  0.45129E-01  0.10220E+01  0.24358E-15  0.24358E-15  0.39780E+01
  0.43451E-01  0.10321E+01  0.24297E-15  0.24297E-15  0.39679E+01
  0.41837E-01  0.10421E+01  0.24235E-15  0.24235E-15  0.39579E+01
  0.40282E-01  0.10521E+01  0.24174E-15  0.24174E-15  0.39479E+01
  0.38785E-01  0.10621E+01  0.24113E-15  0.24113E-15  0.39379E+01
  0.37344E-01  0.10721E+01  0.24051E-15  0.24051E-15  0.39279E+01
  0.35956E-01  0.10822E+01  0.23990E-15  0.23990E-15  0.39178E+01
  0.34620E-01  0.10922E+01  0.23928E-15  0.23928E-15  0.39078E+01
  0.33333E-01  0.11022E+01  0.23867E-15  0.23867E-15  0.38978E+01
  0.32094E-01  0.11122E+01  0.23806E-15  0.23806E-15  0.38878E+01
  0.30902E-01  0.11222E+01  0.23744E-15  0.23744E-15  0.38778E+01
  0.29753E-01  0.11323E+01  0.23683E-15  0.23683E-15  0.38677E+01
  0.28648E-01  0.11423E+01  0.23622E-15  0.23622E-15  0.38577E+01
